id,name,image_product,category,description,price,countInStock,brand,weight,rating
1,Chino Pants Erigo,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/Chino_Pants_Erigo_o6qjcw,fashion,"Chino Pants Erigo saat ini merupakan salah satu lini pakaian terbaik dan berkualitas tinggi di antara Local Brand Indonesia. hari. Memiliki live-button, resleting, belt loop, dan 4 saku simpel pada bagian pinggul.",129000,3900,Erigo,1,4
2,Erigo Coach Jacket Fujinkai Black Unisex,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/Erigo_Coach_Jacket_Fujinkai_Black_Unisex_n4mdiy,fashion,"Coach Jacket Erigo saat ini Mengeluarkan Design terbaru, Coach Jaket Erigo merupakan salah satu lini pakaian terbaik dan berkualitas tinggi di antara Local Brand Indonesia",155000,260,Erigo,1,5
3,Erigo T-Shirt Kuina Navy Unisex,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/Erigo_T-Shirt_Kuina_Navy_Unisex_dwqz9d,fashion,T-Shirt Erigo saat ini merupakan salah satu lini pakaian terbaik dan berkualitas tinggi di antara Local Brand Indonesia. Dibuat dengan bahan cotton yang nyaman untuk menemani harimu dan memiliki print desain yang unik,250000,12,Erigo,1,4
4,Erigo Chino Pants Beryl Emerald Unisex,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/Erigo_Chino_Pants_Beryl_Emerald_Unisex_xylsfx,fashion,Chino Pants Erigo saat ini merupakan salah satu lini pakaian terbaik dan berkualitas tinggi di antara Local Brand Indonesia. Chino Pants are undoubtedly an,149000,100,Erigo,1,4
5,Erigo Jogger Pants Jessie Black,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/Erigo_Jogger_Pants_Jessie_Black_nocrzt,fashion,Deskripsi produk 5,149000,300,Erigo,1,5
6,ROBOT - Mousepad Anti Slip RP05 Gaming Polos Hitam Murah Rubber Original,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/ROBOT_-_Mousepad_Anti_Slip_RP05_Gaming_Polos_Hitam_Murah_Rubber_Original_xf8dfx,komputer-dan-aksesoris,Deskripsi produk 6,14900,150,Robot,1,5
7,Mouse Wireless ROBOT M205 2.4G 1600DPI Receiver USB untuk PC Laptop-Garansi Resmi 1 Tahun,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/Mouse_Wireless_ROBOT_M205_2.4G_1600DPI_Receiver_USB_untuk_PC_Laptop-Garansi_Resmi_1_Tahun_w71cuh,komputer-dan-aksesoris,Mouse Wireless ROBOT M205 2.4G 1600DPI Receiver USB untuk PC Laptop-Garansi Resmi 1 Tahun,89900,10,Robot,1,4
8,ROBOT Portable Mini Wireless Set Combo Keyboard and Mouse KM3100 Original Garansi 1 Tahun,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/ROBOT_Portable_Mini_Wireless_Set_Combo_Keyboard_and_Mouse_KM3100_Original_Garansi_1_Tahun_igbz2o,komputer-dan-aksesoris,Deskripsi produk 8,151900,122,Robot,1,4
9,Robot TWS Wireless Earphone Airbuds T30 PLUS Original BT 5.3 Original Garansi 1 Tahun,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/Robot_TWS_Wireless_Earphone_Airbuds_T30_PLUS_Original_BT_5.3_Original_Garansi_1_Tahun_zkyz0f,komputer-dan-aksesoris,Deskripsi produk 9,134900,8,Robot,1,5
10,ROBOT Stand Holder Laptop Portable Lipat Anti Slip Kompatibel dengan Semua Jenis Laptop dan Tablet RT-LS03 Original,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/ROBOT_Stand_Holder_Laptop_Portable_Lipat_l_qtaxxk,komputer-dan-aksesoris,Deskripsi produk 10,45900,7,Robot,1,4
11,SanDisk CZ50 Cruzer Blade USB 2.0 - 8 GB,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/SanDisk_CZ50_Cruzer_Blade_USB_2.0_-_8_GB_noft20,komputer-dan-aksesoris,"Design yang kecil memudahkan koneksi ke perangkat USB apa saja. Meskipun berukuran kecil, SanDisk Cruzer Blade ini mempunyai kapasitas yang cukup untuk menyimpan data-data anda. Didukung aplikasi SanDisk SecureAccess",38500,200,Sandisk,1,4
12,SanDisk Max Endurance 128GB 100MB/s MicroSDXC - 4K Ultra HD,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/2_vpthgy,komputer-dan-aksesoris,SanDisk Max Endurance 128GB 100MB/s MicroSDXC,541500,200,Sandisk,1,4
13,SanDisk SSD PLUS Solid 240GB SPEED UP/TO 530MB/S,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/3_yt5a8n,komputer-dan-aksesoris,SANDISK SSD PLUS Solid 240GB SPEED UP/TO 530MB/S,541500,200,Sandisk,1,3.5
14,SANDISK FLASHDISK 128GB / USB FLASH 128GB / SANDISK BLADE CZ50 128GB,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/4_jlmqhe,komputer-dan-aksesoris,SANDISK SSD PLUS Solid 240GB SPEED UP/TO 530MB/S,124500,200,Sandisk,1,3.5
15,Sandisk Ultra Micro SDXC UHS I A1 140Mbps 128GB Micro Sd Card Class 10 - QUAB,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/Sandisk_Ultra_Micro_SDXC_UHS_I_A1_140Mbps_128GB_Micro_Sd_Card_Class_10_-_QUAB_woaysb,komputer-dan-aksesoris,SANDISK SSD PLUS Solid 240GB SPEED UP/TO 530MB/S,178000,200,Sandisk,1,3.5
16,TEAMGROUP SSD M2 SATA 2280 MS30 2TB ( 2000GB ),https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/TEAMGROUP_SSD_M2_SATA_2280_MS30_2TB__2000GB__sneuwx,komputer-dan-aksesoris,"MS30 is a M.2 (NGFF, Next Generation Form Factor) high speed solid state drive of the latest generation. It has the latest SATA III 6Gb/s",3020000,200,Team-group,1,4.2
17,TEAMGROUP SSD 2.5 CX2 Series 256GB Sata3,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/TEAMGROUP_SSD_2.5_CX2_Series_256GB_Sata3_dz2ql3,komputer-dan-aksesoris,TEAMGROUP SSD 2.5 CX2 Series 256GB Sata3,285000,200,team-group,1,4.1
18,TEAMGROUP SSD 2.5 GX2 128GB Grey,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/TEAMGROUP_SSD_2.5_GX2_128GB_Grey_wfpohl,komputer-dan-aksesoris,TEAMGROUP SSD 2.5 GX2 128GB Grey,220000,200,team-group,1,3.8
19,Teamgroup Elite Plus Memory DDR4 4GB PC 2666Mhz ( 21300 ) Black,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/Teamgroup_Elite_Plus_Memory_DDR4_4GB_PC_2666Mhz__21300__Black_yi4d5i,komputer-dan-aksesoris,Teamgroup Elite Plus Memory DDR4 4GB PC 2666Mhz ( 21300 ) Black,240000,200,team-group,1,3.9
20,Teamgroup SSD TEAM MP33 256GB M.2 NVMe (1800MB/s),https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/1_d55ssl,komputer-dan-aksesoris,Teamgroup SSD TEAM MP33 256GB M.2 NVMe (1800MB/s),297000,200,team-group,1,3.9
21,GM Bear Panci Listrik Fry Pan Electric (2in1) 1692 - Panci Penggorengan Keramik Elektrik Free Steamer,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/GM_Bear_Panci_Listrik_Fry_Pan_Electric_2in1_1692_-_Panci_Penggorengan_Keramik_tbguld,alat-alat-masak,"GM Bear Panci Listrik Serbaguna hanya dengan satu alat, masak jadi gampang banget! Mengukus, merebus, mamasak mie, membuat hot pot bersama keluarga hingga memanaskan makanan jadi gampang banget loh!",99000,20,GM,1,3.6
22,GM Bear Spatula Set isi 6psc 1073 - Utensil Spatula Sutil Set,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/GM_Bear_Spatula_Set_isi_6psc_1073_-_Utensil_Spatula_Sutil_Set_yycgpr,alat-alat-masak,"Spatula adalah salah satu alat masak wajib yang harus dimiliki setiap dapur. Namun, untuk memaksimalkan proses memasak, dibutuhkan berbagai jenis spatula. Menghadirkan satu set peralatan masak spatula lengkap yang memiliki fungsi lengkap sehingga",26010,20,GM,1,3.6
23,GM Bear Wajan 16cm 1072 - Fry Pan Penggorengan Mini,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/GM_Bear_Wajan_16cm_1072_-_Fry_Pan_Penggorengan_Mini_jyqerv,alat-alat-masak,"Solusi praktis memasak untuk kamu yang tinggal sendiri atau ngekost maupun suka masak porsi kecil. Simple, ringan dan mudah dibersihkan.",34900,20,GM,1,3.5
24,GM Bear Organizer Rak Multifungsi P0177 - Organizer Storage Shelves Space Efficient Drawer,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/GM_Bear_Organizer_Rak_Multifungsi_P0177_-_Organizer_Storage_Shelves_Space_Efficient_Drawer_cm2wtq,alat-alat-masak,Organizer meja serta lemari serbaguna yang di design untuk menciptakan kerapihan dan memudahkan pengguna dalam mengambil pakaian hingga barang-barang lain,124500,20,GM,1,3.5
25,GM Bear Alat Pemanggang Daging Hotpot Elektrik (2 in 1) 1247 - Denki BBQ Grill Pan Steamboat Electric,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/GM_Bear_Alat_Pemanggang_Daging_Hotpot_Elektrik_2_in_1_1247_-_Denki_BBQ_Grill_Pan_sbktaq,alat-alat-masak,2 in 1 Grill and Pan elektrik ini bisa Anda gunakan untuk memanggang atau menggoreng BBQ makanan favorit anda dan memasak hot pot sekaligus dalam satu waktu,34900,20,GM,1,3.7
26,Rinnai Kompor Gas 3 Tungku RI 524 E,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/1_itosyh,alat-alat-masak,Kompor gas dua tungku dan satu tungku untuk grill pan. Kompor series ini dapat,874700,20,Rinnai,1,3.5
27,Rinnai Kompor Gas 1 Tungku RI TL 289 / TL289,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/4_abazez,alat-alat-masak,Rinnai Kompor Gas 1 Tungku Low Pressure – TL289F merupakan salah satu kompor terbaik untuk bidang komersial. Bertipe low pressure atau tekanan gas yang rendah,696000,20,Rinnai,1,3.7
28,Rinnai Sparepart Burner Head Tornado Kompor Seri 5/6/7,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/3_zg029b,alat-alat-masak,"Kepala Tungku Besar Api Tornado Original Kompor Rinnai. Untuk Tipe berikut : RI-602 BGX, RI-712 BGX, RI-511 T, RI-712 T, RI-712 TG",87100,20,Rinnai,1,3.5
29,Rinnai Kompor Gas 1 Tungku RI 301S / 301S,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/4_pxiivg,alat-alat-masak,Rinnai Kompor 1 Tungku – RI301S merupakan salah satu kompor gas Rinnai yang ekonomis. Memiliki tipe api sun burner yang menjadikan apinya menyala merata dan stabil tanpa pembuangan gas secara besar.,220900,20,Rinnai,1,3.9
30,Rinnai Kompor Gas 2 Tungku RI 2 RSP / 2 RSP,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/5_qq5gg1,alat-alat-masak,"Rinnai Kompor Gas RI-2RSP dengan desain finishing berwarna menawan membuat dapur Anda terlihat lebih modern dan rapi, cocok untuk Anda yang memperhatikan keindahan dapur Anda. Selain memperhatikan",1859300,20,Rinnai,1,4
31,Xiaomi TV A2 43 [FHD] Smart HD Dolby Audio� Android TV� Google Play Netflix Disney+,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/Xiaomi_TV_A2_43_FHD_Smart_HD_Dolby_Audio_Android_TV_Google_Play_Netflix_Disney_yg2p7t,electronic,Memiliki desain layar penuh. Desain bezel ultra-tipis menghadirkan rasio antara layar dan bodi yang jauh lebih baik dibandingkan TV standar.,2790000,20,Xiaomi,1,3.8
32,Xiaomi Redmi Buds 4 Active - Bluetooth® 5.3 IPX4 Baterai Hingga 28 Jam Koneksi Mudah,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/Xiaomi_Redmi_Buds_4_Active_-_Bluetooth_5.3_IPX4_Baterai_Hingga_28_Jam_Koneksi_Mudah_gucjdl,electronic,"Dengan Driver Dinamis 12mm yang lebih besar dari sebelumnya oleh penyetelan ahli oleh Xiaomi Acoustic Lab, Redmi Buds 4 Active dapat menghadirkan bass dan akustik yang ditingkatkan, memberikan pengalaman mendengarkan yang menyenangkan",249000,20,Xiaomi,1,3.8
33,Xiaomi POCO X5 Pro 5G (6GB/128GB) | (8GB/256GB) Snapdragon 778G 5G 120Hz AMOLED 67W 108MP NFC,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/5_wzbtug,electronic,Xiaomi POCO X5 Pro 5G (6GB/128GB) | (8GB/256GB) Snapdragon 778G 5G 120Hz AMOLED 67W 108MP NFC,3819000,20,Xiaomi,1,3.8
34,"Xiaomi TV Box S (2nd Gen) 4K Ultra HD Streaming Media Player, Google TV Box with 2GB RAM 8GB ROM, 2.4G/5G Dual WiFi, Bluetooth 5.2 & Dolby Audio and DTS-HD, Dolby Vision, HDR10+",https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/4_uow1pw,electronic,"4K Ultra HD memiliki resolusi 3840 x 2160 piksel, yang empat kali lebih banyak dari resolusi Full HD (1920 x 1080 piksel).",1044802,20,Xiaomi,1,3.5
35,"Xiaomi POCO M5 (4/64GB) | (4/128GB) Helio G99 50MP AI Triple Kamera Layar 90Hz FHD+ 6,58” 5000mAh NFC",https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/5_i8uggg,electronic,POCO M5 menggunakan prosesor octa-core MediaTek Helio G99 memiliki arsitektur CPU terdepan di industri dan GPU MC2 Mali-G57 tangguh yang mampu menghasilkan performa hebat untuk pengalaman pengguna yang mengesankan.,1599000,20,Xiaomi,1,3.5
36,BARDI Smart Indoor PTZ IP Camera CCTV Wifi IoT Home Automation + Micro SD,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/BARDI_Smart_Indoor_PTZ_IP_Camera_CCTV_Wifi_IoT_Home_Automation__Micro_SD_d3wu96,electronic,BARDI Smart Indoor PTZ IP Camera CCTV Wifi IoT Home Automation + Micro SD,108000,20,Bardi,1,4
37,BARDI Smart LIGHT BULB RGBWW 12W Wifi Wireless IoT - Home Automation (Lampu Tidur Kekinian),https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/BARDI_Smart_LIGHT_BULB_RGBWW_12W_Wifi_Wireless_IoT_-_Home_Automation_Lampu_Tidur_Kekinian_npniym,electronic,"BARDI Smart Light Bulb dapat mengubah suasana dengan pengaturan tingkat keterangan dan warna. Untuk memudahkan pengguna, warna dibagi menjadi 2 pengaturan yaitu ke warm white (2700-6500k), dan beragam warna (RGB).",120000,20,Bardi,1,4.1
38,BARDI Smart UNIVERSAL IR REMOTE 12M Wifi Wireless IoT For Home Automation,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/BARDI_Smart_UNIVERSAL_IR_REMOTE_12M_Wifi_Wireless_IoT_For_Home_Automation_vftt1j,electronic,BARDI Universal IR Remote 12M merupakan remote infrared pintar yang dapat dikendalikan melalui aplikasi selama BARDI Universal IR Remote 12M terhubung ke wifi/hotspot.,135000,40,Bardi,1,3.8
39,BARDI Bundling Smart IP Camera CCTV Outdoor PTZ + Micro SD,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/BARDI_Bundling_Smart_IP_Camera_CCTV_Outdoor_PTZ__Micro_SD_nf97fb,electronic,BARDI Universal IR Remote 12M merupakan remote infrared pintar yang dapat dikendalikan melalui aplikasi selama BARDI Universal IR Remote 12M terhubung ke wifi/hotspot.,15000,40,Bardi,1,3.7
40,BARDI Dual Smart Plug,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/BARDI_Dual_Smart_Plug_yxe399,electronic,"BARDI Dual Smart Plug merupakan steker pintar yang bisa diatur melalui aplikasi. Dengan plug ini, segala perangkat dengan daya listrik 220v dapat diputus atau disambungkan arus listrik sesuai keinginan.",230000,40,Bardi,1,3.9
